nutriscore_score	count	percentage
-15	396	0.01
39	884	0.02
36	2244	0.06
50	156	0.0
14	43139	1.11
-17	251	0.01
-18	2	0.0
-1	37116	0.95
47	101	0.0
6	36710	0.94
-13	400	0.01
48	112	0.0
34	4281	0.11
51	83	0.0
0	80473	2.07
10	20773	0.53
-5	17562	0.45
35	4505	0.12
49	73	0.0
16	38027	0.98
43	285	0.01
30	13410	0.35
45	197	0.01
23	22831	0.59
-12	702	0.02
26	16131	0.42
33	5220	0.13
27	15095	0.39
2	46728	1.2
19	48297	1.24
-7	4697	0.12
24	20696	0.53
44	205	0.01
-14	297	0.01
12	43733	1.13
25	19606	0.5
5	40690	1.05
-2	29985	0.77
3	47575	1.22
21	29143	0.75
22	25524	0.66
42	442	0.01
38	1090	0.03
11	43021	1.11
1	45609	1.17
32	9934	0.26
9	21456	0.55
-4	15242	0.39
-10	2527	0.07
20	43449	1.12
4	51943	1.34
40	954	0.02
37	1332	0.03
18	37943	0.98
15	43251	1.11
13	42017	1.08
55	67	0.0
	2630770	67.69
-8	3239	0.08
-6	12664	0.33
-16	355	0.01
52	27	0.0
54	44	0.0
29	13107	0.34
46	145	0.0
17	36065	0.93
28	14402	0.37
-3	19435	0.5
31	13650	0.35
-9	2603	0.07
53	31	0.0
-11	1360	0.03
8	27631	0.71
7	31945	0.82
41	466	0.01
