tag,count
en:lean-fish,1577
en:offals,1653
en:potatoes,3858
en:soups,4202
en:eggs,4218
en:sandwiches,5793
en:dried-fruits,8235
en:pastries,10189
en:pizza-pies-and-quiches,11222
en:dairy-desserts,11506
en:nuts,12604
en:legumes,12774
en:ice-cream,13191
en:fruits,14945
en:meat-other-than-poultry,16466
en:poultry,17164
en:breakfast-cereals,17634
en:fatty-fish,19134
en:salty-and-fatty-products,21621
en:fats,21868
en:appetizers,22653
en:chocolate-products,22905
en:vegetables,25396
en:bread,28980
en:meat,33630
en:fish-and-seafood,34129
en:milk-and-yogurt,35840
en:processed-meat,45226
en:one-dish-meals,47413
en:cheese,47702
en:dressings-and-sauces,48247
en:cereals,48869
en:fruits-and-vegetables,54358
en:salty-snacks,56878
en:composite-foods,64428
en:sweets,65610
en:biscuits-and-cakes,67401
en:fats-and-sauces,70115
en:milk-and-dairy-products,108239
en:cereals-and-potatoes,114384
en:fish-meat-eggs,119451
,152399
en:sugary-snacks,166105
