tag2,count,percentage
en:fruits-a-coque,1,0.0
en:meats-prepared-meats,1,0.0
ca:fuet-extra,1,0.0
en:cocoa-beverage-blend,1,0.0
fr:viande-a-kebab,1,0.0
es:migas-escurridas-de-bonito-del-norte,1,0.0
fr:tartine-et-cuisson,1,0.0
es:media,1,0.0
de:produkt-mit-salz,1,0.0
fr:mayonnaises-a-l-ail,1,0.0
fr:leger-20-mg,1,0.0
es:flocons,1,0.0
fr:tartin,1,0.0
de:geflügelfleischaufschnitt,1,0.0
de:aufschnitt-mix,1,0.0
en:dry-vegrables,1,0.0
fr:oeufs-frais-bio,1,0.0
fr:filets-de-poulet-en-conserve,1,0.0
it:preparazioni-a-base-di-mozzarella,1,0.0
de:kaudragee,1,0.0
es:paellero,1,0.0
en:burger-mix,1,0.0
en:puffed-khorasan-wheat,1,0.0
en:vegane-bratlinge,1,0.0
fr:olives-tournantes,1,0.0
en:hirsemilch,1,0.0
fr:raviolis-japonais-au-poulet-et-aux-legumes,1,0.0
en:chicken-canned,1,0.0
fr:pates-alimentaires-de-ble-dur-aux-oeufs-frais,1,0.0
en:baby-food-jar-with-vegetables-couscous-and-chicken,1,0.0
en:tiefkuhl-kroketten,1,0.0
en:chocolate-bake,1,0.0
en:black-venus-rice,1,0.0
en:organic-apple-sauce,1,0.0
ru:крупа-ядрица-гречневая-быстроразваривающаяся-пропаренная,1,0.0
nl:toetje,1,0.0
es:postre-vegetal-de-coco,1,0.0
hr:jabučni-ocat,1,0.0
de:brotaufstrich-mit-ei,1,0.0
en:fermented-chili-paste,1,0.0
en:european-pilchard,1,0.0
es:suplementacion-deportiva,1,0.0
en:tinned-tomato,1,0.0
ro:organic,1,0.0
en:nature,1,0.0
bg:bio,1,0.0
el:quaker,1,0.0
fr:preparations-au-fromage,1,0.0
en:cooked-rice,1,0.0
fr:farine-de-gateau,1,0.0
en:tinned-mandarin-in-mandarin-juice,1,0.0
en:idk-any-categories,1,0.0
en:fruited-hot-cross-buns,1,0.0
de:schweinewürstchen,1,0.0
en:edmame-spaghetti-noodles,1,0.0
it:brown-rice-noodles,1,0.0
en:putenwurst,1,0.0
de:pistazien-aufstrich,1,0.0
it:charcuteries-italiennes,1,0.0
fr:cheesecake-slices,1,0.0
fr:filets-de-rouget,1,0.0
de:hydration-drink,1,0.0
en:breed,1,0.0
en:products-from-china,1,0.0
pt:broas,1,0.0
sv:pingvinstång,1,0.0
en:dehydrated-chicken-and-vermicelli-soup,1,0.0
es:ducal,1,0.0
en:sliced-vegetable,1,0.0
en:sultana-bran,1,0.0
fr:waterzoi,1,0.0
de:keto-schokolade,1,0.0
en:corn-cakes-with-yougurt-and-wildberries,1,0.0
ro:biscuiți-penuțe-cu-ciocolată-așteaptă-să-l-scanez,1,0.0
fr:tartelettes-a-la-carotte,1,0.0
fr:sauces-curry-noix-de-cajou,1,0.0
ca:datils,1,0.0
de:caffee,1,0.0
en:butter-and-vegetable-oil-mix,1,0.0
fr:fromage-a-pate-pressee-cuite-au-lait-cru,1,0.0
fr:bonbon-choc,1,0.0
bg:трушия,1,0.0
en:canned-alphonso-mango-pulp,1,0.0
es:helado-cookies-cream,1,0.0
fr:potee-au-chou,1,0.0
it:yogurt-greco-con-cioccolato,1,0.0
it:aliments-a-base-de-fruits-et-de-legumes,1,0.0
de:glückskeks,1,0.0
en:air-fryer,1,0.0
fr:barre-chocolates,1,0.0
fr:saucisses-de-montbeliard-cuites,1,0.0
en:graanrepen,1,0.0
en:chickenspread,1,0.0
de:255,1,0.0
cs:chodura,1,0.0
en:whipped-cream-cheese-spread,1,0.0
fr:https-is-gd-yw3oxc,1,0.0
fr:scarmoza,1,0.0
fr:legumes-couscous,1,0.0
de:essen-und-trinken,1,0.0
pt:farinha-de-milho-flocada,1,0.0
en:cereales-au-miel,1,0.0
en:tomato-sauce-with-vegetables-paste,1,0.0
fr:bricelets,1,0.0
fr:biscoitos-de-chocolate,1,0.0
en:carottes-rapees,1,0.0
de:fisch-in-gelee,1,0.0
nb:hvitost,1,0.0
de:weizenmehle-tipo-0,1,0.0
it:kinder-joy,1,0.0
de:fettreduzierter-frischkäse,1,0.0
fr:boudin-blanc-nature,1,0.0
es:barra-de-proteina,1,0.0
en:frozen-thin-crust-spinach-pizza,1,0.0
en:zephyr,1,0.0
de:gefrorene-heidelbeeren,1,0.0
fr:purees-d-ail,1,0.0
